Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Comunitat Valenciana;Ambos sexos;2016;82,59
Comunitat Valenciana;Ambos sexos;2015;82,23
Comunitat Valenciana;Ambos sexos;2014;82,41
Comunitat Valenciana;Ambos sexos;2013;82,37
Comunitat Valenciana;Ambos sexos;2012;81,86
Comunitat Valenciana;Ambos sexos;2011;81,76
Comunitat Valenciana;Ambos sexos;2010;81,55
Comunitat Valenciana;Ambos sexos;2009;81,27
Comunitat Valenciana;Ambos sexos;2008;80,85
Comunitat Valenciana;Ambos sexos;2007;80,48
Comunitat Valenciana;Ambos sexos;2006;80,44
Comunitat Valenciana;Ambos sexos;2005;79,65
Comunitat Valenciana;Ambos sexos;2004;79,8
Comunitat Valenciana;Ambos sexos;2003;79,04
Comunitat Valenciana;Ambos sexos;2002;79,01
Comunitat Valenciana;Ambos sexos;2001;78,93
Comunitat Valenciana;Ambos sexos;2000;78,76
Comunitat Valenciana;Ambos sexos;1999;78,12
Comunitat Valenciana;Ambos sexos;1998;78,42
Comunitat Valenciana;Ambos sexos;1997;77,94
Comunitat Valenciana;Ambos sexos;1996;77,66
Comunitat Valenciana;Ambos sexos;1995;77,64
Comunitat Valenciana;Ambos sexos;1994;77,25
Comunitat Valenciana;Ambos sexos;1993;77,15
Comunitat Valenciana;Ambos sexos;1992;76,81
Comunitat Valenciana;Ambos sexos;1991;76,53
Comunitat Valenciana;Ambos sexos;1990;76,41
Comunitat Valenciana;Ambos sexos;1989;76,16
Comunitat Valenciana;Ambos sexos;1988;76,11
Comunitat Valenciana;Ambos sexos;1987;76,19
Comunitat Valenciana;Ambos sexos;1986;76,12
Comunitat Valenciana;Ambos sexos;1985;75,93
Comunitat Valenciana;Ambos sexos;1984;76,03
Comunitat Valenciana;Ambos sexos;1983;75,59
Comunitat Valenciana;Ambos sexos;1982;75,47
Comunitat Valenciana;Ambos sexos;1981;75,01
Comunitat Valenciana;Ambos sexos;1980;74,71
Comunitat Valenciana;Ambos sexos;1979;74,09
Comunitat Valenciana;Ambos sexos;1978;73,6
Comunitat Valenciana;Ambos sexos;1977;73,56
Comunitat Valenciana;Ambos sexos;1976;73,36
Comunitat Valenciana;Ambos sexos;1975;73
Extremadura;Ambos sexos;2020;81,78
Extremadura;Ambos sexos;2019;82,79
Extremadura;Ambos sexos;2018;82,5
Extremadura;Ambos sexos;2017;82,24
Extremadura;Ambos sexos;2016;82,29
Extremadura;Ambos sexos;2015;82,02
Extremadura;Ambos sexos;2014;82,34
Extremadura;Ambos sexos;2013;81,85
Extremadura;Ambos sexos;2012;81,43
Extremadura;Ambos sexos;2011;81,74
Extremadura;Ambos sexos;2010;81,21
Extremadura;Ambos sexos;2009;81,05
Extremadura;Ambos sexos;2008;81,03
Extremadura;Ambos sexos;2007;80,48
Extremadura;Ambos sexos;2006;80,43
Extremadura;Ambos sexos;2005;79,6
Extremadura;Ambos sexos;2004;79,82
Extremadura;Ambos sexos;2003;79,03
Extremadura;Ambos sexos;2002;79,38
Extremadura;Ambos sexos;2001;79,25
Extremadura;Ambos sexos;2000;78,83
Extremadura;Ambos sexos;1999;78,56
Extremadura;Ambos sexos;1998;78,6
Extremadura;Ambos sexos;1997;78,45
Extremadura;Ambos sexos;1996;77,94
Extremadura;Ambos sexos;1995;78,05
Extremadura;Ambos sexos;1994;77,8
Extremadura;Ambos sexos;1993;77,24
Extremadura;Ambos sexos;1992;77,26
Extremadura;Ambos sexos;1991;76,84
Extremadura;Ambos sexos;1990;76,6
Extremadura;Ambos sexos;1989;76,61
Extremadura;Ambos sexos;1988;76,56
Extremadura;Ambos sexos;1987;76,43
Extremadura;Ambos sexos;1986;75,81
Extremadura;Ambos sexos;1985;76,03
Extremadura;Ambos sexos;1984;75,85
Extremadura;Ambos sexos;1983;75,22
Extremadura;Ambos sexos;1982;75,93
Extremadura;Ambos sexos;1981;75,08
Extremadura;Ambos sexos;1980;74,79
Extremadura;Ambos sexos;1979;74,24
Extremadura;Ambos sexos;1978;73,89
Extremadura;Ambos sexos;1977;73,81
Extremadura;Ambos sexos;1976;73,51
Extremadura;Ambos sexos;1975;73,22
Galicia;Ambos sexos;2020;83,33
Galicia;Ambos sexos;2019;83,51
Galicia;Ambos sexos;2018;83,09
Galicia;Ambos sexos;2017;83,07
Galicia;Ambos sexos;2016;82,65
Galicia;Ambos sexos;2015;82,62
Galicia;Ambos sexos;2014;82,92
Galicia;Ambos sexos;2013;82,6
Galicia;Ambos sexos;2012;82,24
Galicia;Ambos sexos;2011;82,11
Galicia;Ambos sexos;2010;81,93
Galicia;Ambos sexos;2009;81,46
Galicia;Ambos sexos;2008;81,31
Galicia;Ambos sexos;2007;80,89
Galicia;Ambos sexos;2006;80,81
Galicia;Ambos sexos;2005;80,51
Galicia;Ambos sexos;2004;80,63
Galicia;Ambos sexos;2003;79,87
Galicia;Ambos sexos;2002;80
Galicia;Ambos sexos;2001;79,87
Galicia;Ambos sexos;2000;79,29
Galicia;Ambos sexos;1999;79,14
Galicia;Ambos sexos;1998;78,91
Galicia;Ambos sexos;1997;78,61
Galicia;Ambos sexos;1996;77,85
Galicia;Ambos sexos;1995;77,92
Galicia;Ambos sexos;1994;77,86
Galicia;Ambos sexos;1993;77,52
Galicia;Ambos sexos;1992;77,32
Galicia;Ambos sexos;1991;76,83
Galicia;Ambos sexos;1990;76,52
Galicia;Ambos sexos;1989;76,74
Galicia;Ambos sexos;1988;76,7
Galicia;Ambos sexos;1987;76,63
Galicia;Ambos sexos;1986;75,98
Galicia;Ambos sexos;1985;76,1
Galicia;Ambos sexos;1984;76,19
Galicia;Ambos sexos;1983;75,86
Galicia;Ambos sexos;1982;75,77
Galicia;Ambos sexos;1981;75,31
Galicia;Ambos sexos;1980;75,2
Galicia;Ambos sexos;1979;74,39
Galicia;Ambos sexos;1978;73,95
Galicia;Ambos sexos;1977;73,48
Galicia;Ambos sexos;1976;73,28
Galicia;Ambos sexos;1975;72,96
Madrid, Comunidad de;Ambos sexos;2020;82,33
Madrid, Comunidad de;Ambos sexos;2019;84,99
Madrid, Comunidad de;Ambos sexos;2018;84,78
Madrid, Comunidad de;Ambos sexos;2017;84,53
Madrid, Comunidad de;Ambos sexos;2016;84,54
Madrid, Comunidad de;Ambos sexos;2015;84
Madrid, Comunidad de;Ambos sexos;2014;84,22
Madrid, Comunidad de;Ambos sexos;2013;84,14
Madrid, Comunidad de;Ambos sexos;2012;83,64
Madrid, Comunidad de;Ambos sexos;2011;83,63
Madrid, Comunidad de;Ambos sexos;2010;83,39
Madrid, Comunidad de;Ambos sexos;2009;82,93
Madrid, Comunidad de;Ambos sexos;2008;82,58
Madrid, Comunidad de;Ambos sexos;2007;82,08
Madrid, Comunidad de;Ambos sexos;2006;82,06
Madrid, Comunidad de;Ambos sexos;2005;81,5
Madrid, Comunidad de;Ambos sexos;2004;81,24
Madrid, Comunidad de;Ambos sexos;2003;80,63
Madrid, Comunidad de;Ambos sexos;2002;80,81
Madrid, Comunidad de;Ambos sexos;2001;80,58
Madrid, Comunidad de;Ambos sexos;2000;80,36
Madrid, Comunidad de;Ambos sexos;1999;80,19
Madrid, Comunidad de;Ambos sexos;1998;79,93
Madrid, Comunidad de;Ambos sexos;1997;79,97
Madrid, Comunidad de;Ambos sexos;1996;79,18
Madrid, Comunidad de;Ambos sexos;1995;78,81
Madrid, Comunidad de;Ambos sexos;1994;78,75
Madrid, Comunidad de;Ambos sexos;1993;78,32
Madrid, Comunidad de;Ambos sexos;1992;78,1
Madrid, Comunidad de;Ambos sexos;1991;77,58
Madrid, Comunidad de;Ambos sexos;1990;77,39
Madrid, Comunidad de;Ambos sexos;1989;77,59
Madrid, Comunidad de;Ambos sexos;1988;77,41
Madrid, Comunidad de;Ambos sexos;1987;77,47
Madrid, Comunidad de;Ambos sexos;1986;77,68
Madrid, Comunidad de;Ambos sexos;1985;76,93
Madrid, Comunidad de;Ambos sexos;1984;76,9
Madrid, Comunidad de;Ambos sexos;1983;76,36
Madrid, Comunidad de;Ambos sexos;1982;76,77
